Catégories,Variables,Réponses,Unit,Ombella M'Poko,Lobaye,Mambéré Kadéi,Nana Mambéré,Sangha Mbaéré,Ouham Péndé,Ouham,Kémo,Ouaka,Mbomou,Bangui,TOTAL,Source,Source Link,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,28%,40%,29%,51%,50%,18%,31%,4%,30%,0%,22%,29%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,26%,55%,47%,23%,0%,90%,55%,47%,55%,0%,37%,52%,,,,,,,,,
,,oui,%,74%,45%,53%,77%,100%,10%,45%,53%,45%,100%,61%,48%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,57%,19%,63%,45%,0%,67%,49%,93%,82%,0%,42%,50%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,28%,44%,12%,0%,0%,89%,54%,78%,91%,0%,39%,56%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,0%,13%,19%,0%,0%,22%,6%,0%,0%,0%,8%,9%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,7%,0%,7%,0%,0%,0%,6%,0%,0%,0%,2%,4%,,,,,,,,,
,,Trop lent,%,36%,13%,22%,0%,0%,0%,17%,15%,0%,0%,23%,17%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,14%,13%,22%,0%,0%,0%,20%,0%,0%,0%,13%,13%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,14%,25%,0%,55%,0%,11%,11%,0%,9%,0%,17%,12%,,,,,,,,,
,,Autre,%,18%,0%,0%,0%,0%,0%,3%,7%,17%,0%,10%,5%,,,,,,,,,
VIOLENCE LIEE AUX CONFLITS,Témoin de violences liées aux conflits - toutes les catégories - 12 derniers mois,Oui,%,15%,11%,13%,3%,8%,9%,50%,19%,48%,8%,12%,20%,,,,,,,,,
,"Si oui, lesquelles (% parmi tous les répondants)",Combats,%,9%,6%,3%,0%,5%,7%,13%,5%,38%,6%,7%,10%,,,,,,,,,
,,Viol,%,4%,8%,1%,1%,1%,2%,20%,0%,12%,1%,2%,6%,,,,,,,,,
,,Esclavage sexuel,%,0%,1%,0%,0%,0%,0%,2%,0%,1%,0%,1%,1%,,,,,,,,,
,,Prostitution forcee/ proxenetisme,%,0%,0%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%,,,,,,,,,
,,Grossesse forcee,%,0%,3%,0%,0%,0%,0%,3%,1%,0%,0%,1%,1%,,,,,,,,,
,,Sterilisation forcee,%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,,,,,,,,,
,,Autres agressions sexuelles,%,1%,1%,0%,2%,0%,0%,2%,0%,3%,0%,1%,1%,,,,,,,,,
,,Vols/ pillages,%,8%,0%,10%,1%,0%,9%,34%,18%,37%,6%,8%,14%,,,,,,,,,
,,Destruction des proprietes,%,6%,0%,6%,0%,0%,0%,25%,11%,23%,3%,7%,9%,,,,,,,,,
,,Meurtres,%,9%,0%,3%,2%,2%,0%,21%,13%,29%,6%,6%,8%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,"Témoin de personnes abusées sexuellement (viol, harcellement, agression, mutilations) par des groupes armés ou militaires, dans le cadre des conflits",Oui,%,8%,14%,7%,3%,2%,10%,56%,6%,13%,0%,8%,14%,,,,,,,,,
,Pendant les évènements de 2003 mais avant la crise de 2013 (% parmi les témoins),Oui,%,47%,23%,18%,0%,0%,95%,77%,17%,63%,0%,62%,61%,,,,,,,,,
,Pendant la crise de 2013 jusqu'a maintenant (% parmi les témoins),Oui,%,88%,57%,77%,89%,80%,100%,95%,100%,91%,100%,78%,89%,,,,,,,,,
,Dans les 12 derniers mois (% parmi les témoins),Oui,%,58%,40%,43%,33%,0%,62%,54%,63%,73%,0%,50%,55%,,,,,,,,,
,Victime de violences liés aux conflits - toutes les catégories - 12 derniers mois,Oui,%,11%,11%,5%,1%,1%,4%,73%,12%,27%,1%,8%,16%,,,,,,,,,
,"Si oui, lesquelles (% parmi tous les répondants)",Combats,%,1%,7%,2%,0%,0%,3%,15%,1%,23%,1%,2%,5%,,,,,,,,,
,,Viols,%,0%,8%,0%,0%,0%,0%,17%,0%,8%,0%,0%,4%,,,,,,,,,
,,Esclavage sexuel,%,0%,2%,0%,0%,0%,0%,1%,1%,0%,0%,0%,0%,,,,,,,,,
,,Prostitution forcee/ proxenetisme,%,0%,2%,0%,0%,0%,0%,1%,1%,1%,0%,0%,0%,,,,,,,,,
,,Grossesse forcee,%,0%,3%,0%,0%,0%,0%,2%,2%,0%,0%,0%,1%,,,,,,,,,
,,Autres agressions sexuelles,%,0%,1%,0%,0%,0%,0%,4%,0%,1%,0%,0%,1%,,,,,,,,,
,,Vols/ pillages,%,10%,0%,3%,0%,1%,4%,57%,11%,24%,1%,6%,13%,,,,,,,,,
,,Destruction des proprietes,%,5%,0%,2%,0%,1%,0%,37%,8%,13%,1%,5%,8%,,,,,,,,,
,,Meurtres,%,5%,1%,0%,1%,0%,0%,26%,5%,17%,0%,2%,6%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,,,,,,,,,
,"Victime de violences sexuelles (viol, harcellement, agression, mutilations) par des groupes armes ou militaires, dans le cadre des conflits",Oui,%,4%,12%,2%,1%,1%,8%,37%,9%,6%,0%,2%,8%,,,,,,,,,
,Pendant les évènements de 2003 mais avant la crise de 2013 (% parmi les victimes),Oui,%,43%,37%,0%,0%,33%,100%,69%,21%,74%,100%,61%,63%,,,,,,,,,
,Pendant la crise de 2013 jusqu'a maintenant (% parmi les victimes),Oui,%,83%,70%,80%,45%,100%,100%,95%,96%,93%,100%,70%,91%,,,,,,,,,
,Dans les 12 derniers mois (% parmi les victimes),Oui,%,32%,15%,60%,55%,33%,76%,61%,17%,88%,0%,43%,56%,,,,,,,,,
,"Déplacé, forcé de fuir, à cause des conflits, depuis 2003",Oui,%,48%,29%,28%,5%,34%,94%,91%,17%,35%,53%,44%,49%,,,,,,,,,
,Dans les 12 derniers mois (% parmi oui),Oui,%,22%,10%,14%,0%,1%,37%,37%,20%,87%,27%,25%,32%,,,,,,,,,
,"Menacé de violences ou vous sentir menacé à cause des conflits, depuis 2003",Oui,%,33%,14%,27%,3%,6%,50%,75%,13%,30%,14%,26%,32%,,,,,,,,,
,Dans les 12 derniers mois (% parmi oui),Oui,%,19%,7%,27%,0%,23%,51%,54%,26%,91%,79%,28%,44%,,,,,,,,,
,Emprisonné par un groupe armé / militaire à cause des conflits depuis 2003,Oui,%,7%,9%,5%,0%,1%,44%,35%,0%,4%,1%,9%,14%,,,,,,,,,
,Dans les 12 derniers mois (% parmi oui),Oui,%,34%,10%,0%,0%,0%,40%,66%,0%,89%,50%,33%,44%,,,,,,,,,
,Enlevé ou forcé de travailler ou de participer dans les violence pour un groupe armé ou militaire à cause des conflits depuis 2003,Oui,%,6%,9%,4%,0%,2%,33%,43%,1%,5%,1%,5%,12%,,,,,,,,,
,Dans les 12 derniers mois (% parmi oui),Oui,%,28%,11%,10%,0%,0%,24%,40%,0%,59%,100%,34%,31%,,,,,,,,,
,Plus d’une semaine ,Oui,%,49%,32%,71%,0%,50%,63%,72%,0%,83%,100%,48%,62%,,,,,,,,,
,Décès d’un membre du ménage à cause des conflits depuis 2003,Oui,%,43%,24%,15%,2%,6%,56%,74%,9%,27%,68%,34%,37%,,,,,,,,,
,Dans les 12 derniers mois (% parmi oui),Oui,%,32%,4%,5%,0%,8%,34%,35%,0%,74%,61%,33%,36%,,,,,,,,,
,"Disparition d’un membre du ménage à cause des conflits (par exemple enlèvement…), depuis 2003",Oui,%,20%,10%,13%,1%,1%,47%,56%,5%,9%,19%,17%,22%,,,,,,,,,
,Dans les 12 derniers mois (% parmi oui),Oui,%,43%,9%,9%,0%,0%,33%,64%,8%,69%,93%,44%,45%,,,,,,,,,
GENRE ET VIOLENCES SEXUELLES,Perception générale sur les violences sexuelles et acteurs associés (% d'accord),"Un homme devrait toujours s'assurer que sa partenaire est d'accord avant de s'engager dans une relation sexuelle, même s'ils sont mariés",%,93%,96%,96%,89%,93%,98%,87%,99%,81%,94%,95%,93%,,,,,,,,,
,,Il est parfois acceptable qu'un homme batte son épouse,%,36%,1%,58%,54%,1%,53%,29%,39%,42%,16%,27%,35%,,,,,,,,,
,,Il est parfois acceptable qu'une femme batte son époux,%,13%,1%,16%,2%,2%,0%,6%,23%,25%,0%,12%,10%,,,,,,,,,
,,"Les violences sexuelles doivent se résoudre dans les familles, sans les autorités",%,73%,38%,54%,52%,78%,76%,76%,35%,55%,44%,71%,63%,,,,,,,,,
,,Les responsables de violence sexuelles sont généralement punis,%,91%,92%,85%,95%,73%,98%,97%,99%,98%,100%,93%,94%,,,,,,,,,
,,Les victimes de violences sexuelles peuvent avoir leur cas jugés par les tribunaux,%,93%,95%,97%,99%,95%,99%,95%,100%,98%,98%,94%,96%,,,,,,,,,
,,Les victimes des violences sexuelles peuvent avoir leur cas enquêtés par la police,%,91%,96%,95%,99%,94%,100%,94%,94%,98%,99%,89%,95%,,,,,,,,,
,Efforts des acteurs pour lutter contre les violences sexuelles (% bon et très bon),Etat,%,69%,42%,50%,85%,89%,56%,81%,60%,54%,88%,70%,65%,,,,,,,,,
,,Police,%,66%,45%,60%,87%,77%,50%,69%,51%,63%,88%,68%,64%,,,,,,,,,
,,Gendarmerie,%,73%,53%,69%,90%,85%,50%,82%,61%,63%,90%,73%,69%,,,,,,,,,
,,"Autorités administratives locales et villageoises (chef du village, mairie, chef coutumier, de clan)",%,64%,64%,60%,56%,67%,51%,68%,61%,68%,97%,63%,64%,,,,,,,,,
,,Nations Unies,%,57%,46%,87%,97%,66%,63%,97%,58%,67%,91%,71%,72%,,,,,,,,,
,,Tribunaux ordinaires,%,81%,49%,88%,99%,89%,67%,90%,59%,67%,94%,83%,78%,,,,,,,,,
,,Cour pénale spéciale,%,61%,44%,59%,97%,64%,57%,88%,66%,62%,91%,64%,66%,,,,,,,,,
,,Confessions religieuses,%,73%,70%,81%,49%,13%,54%,75%,78%,78%,97%,77%,70%,,,,,,,,,
,,ONGs,%,67%,68%,96%,99%,34%,62%,87%,63%,74%,92%,78%,76%,,,,,,,,,
,Traitement des victimes de violences sexuelles par rapport aux autres crimes  (% répondants),mieux servies,%,51%,37%,46%,69%,27%,64%,23%,6%,20%,13%,55%,43%,,,,,,,,,
,,moins bien servies,%,26%,23%,21%,29%,28%,35%,50%,81%,68%,47%,29%,37%,,,,,,,,,
,,même chose,%,22%,40%,33%,2%,45%,1%,26%,13%,12%,40%,16%,20%,,,,,,,,,
,Traitement des victimes de violences sexuelles par rapport à l'année précédente (% répondants),mieux servies,%,46%,22%,60%,62%,45%,71%,41%,1%,34%,14%,51%,46%,,,,,,,,,
,,moins bien servies,%,31%,19%,7%,13%,28%,27%,30%,78%,14%,47%,27%,27%,,,,,,,,,
,,même chose,%,24%,59%,33%,25%,26%,2%,30%,21%,52%,39%,21%,27%,,,,,,,,,
,Acceptance du retour d'une personne victime de violences sexuelles … (% oui),Dans votre communauté ,%,89%,68%,96%,96%,87%,64%,96%,97%,73%,54%,83%,83%,,,,,,,,,
,,Dans votre ménage ,%,91%,64%,93%,98%,89%,68%,95%,98%,84%,60%,85%,85%,,,,,,,,,
,,Dans votre ménage d'une femme/fille victime si elle a eu un enfant à cause de cet acte,%,88%,62%,77%,92%,77%,70%,89%,94%,83%,60%,81%,80%,,,,,,,,,
,,Dans votre ménage d'une femme ou homme victime si elle/ il a eu une maladie ou blessure à cause de cet acte,%,89%,62%,90%,96%,61%,70%,86%,91%,82%,47%,82%,81%,,,,,,,,,
,Forcé de marier quelqu'un contre votre volonté,Oui,%,16%,24%,22%,8%,7%,11%,22%,24%,6%,0%,13%,15%,,,,,,,,,
,"Empêché d'avoir une activité ééconomique, destruction d'outils de travail ou refus d'accès à la terre",Oui,%,25%,30%,35%,5%,9%,18%,42%,16%,14%,2%,17%,22%,,,,,,,,,
,"Victime de violences morales, psychologiques ou affectives",Oui,%,46%,35%,40%,36%,25%,20%,84%,42%,27%,2%,37%,39%,,,,,,,,,
,"Connaître une ou plusieurs personnes qui ont été harcelées, agressées ou mutilées sexuellement au cours des 12 derniers mois, que ce soit chez eux ou ailleurs",Oui,%,17%,16%,22%,6%,17%,9%,63%,44%,12%,1%,17%,21%,,,,,,,,,
,"Témoin d'une ou plusieurs personnes qui ont été harcelées, agressées ou mutilées sexuellement au cours des 12 derniers mois, que ce soit chez eux ou ailleurs",Oui,%,9%,15%,14%,4%,15%,6%,31%,22%,13%,1%,10%,13%,,,,,,,,,
,"Victime d'un harcèlement, aggression ou mutilation sexuelle au cours des 12 derniers mois, que ce soit chez vous ou ailleurs",Oui,%,1%,11%,1%,0%,0%,0%,16%,5%,3%,0%,2%,4%,,,,,,,,,
,Arrivé plusieurs fois,oui,%,32%,8%,50%,0%,0%,100%,71%,0%,49%,0%,49%,48%,,,,,,,,,
,"Utilisation d'une arme et si oui, laquelle",Pas d'arme,%,45%,42%,0%,0%,0%,0%,6%,8%,0%,0%,43%,19%,,,,,,,,,
,,"Arme blanche (couteau,…)",%,29%,54%,0%,0%,0%,0%,29%,46%,12%,0%,30%,31%,,,,,,,,,
,,Arme de poing (revolver),%,26%,4%,100%,0%,0%,0%,51%,8%,63%,0%,18%,32%,,,,,,,,,
,,"Autre arme (fusil,…)",%,0%,0%,0%,0%,0%,100%,14%,38%,25%,100%,6%,17%,,,,,,,,,
,Responsable du dernier incident de violence sexuelle,Membre de votre famille,%,6%,17%,0%,0%,0%,0%,11%,0%,0%,0%,18%,11%,,,,,,,,,
,,Ami proche,%,6%,17%,0%,0%,0%,0%,0%,8%,0%,0%,7%,6%,,,,,,,,,
,,Connaissance,%,6%,63%,0%,0%,0%,0%,6%,8%,0%,0%,16%,19%,,,,,,,,,
,,Personne en tenue,%,6%,4%,0%,0%,0%,100%,17%,8%,76%,100%,14%,19%,,,,,,,,,
,,Personne inconnue,%,55%,0%,100%,0%,0%,0%,66%,77%,24%,0%,32%,42%,,,,,,,,,
,,Autre,%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13%,2%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,55%,42%,0%,0%,0%,100%,29%,15%,100%,100%,54%,41%,,,,,,,,,
,,oui,%,45%,58%,100%,0%,0%,0%,71%,85%,0%,0%,46%,59%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,47%,30%,0%,0%,0%,0%,60%,50%,26%,0%,31%,38%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,42%,40%,0%,0%,0%,0%,40%,50%,13%,0%,16%,29%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,42%,40%,0%,0%,0%,0%,20%,0%,0%,100%,12%,20%,,,,,,,,,
,, Je ne connais pas les auteurs,%,0%,10%,0%,0%,0%,0%,70%,0%,74%,0%,9%,38%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,0%,20%,0%,0%,0%,0%,0%,0%,13%,0%,18%,10%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,0%,10%,0%,0%,0%,100%,30%,0%,0%,0%,25%,19%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,12%,0%,0%,0%,0%,100%,20%,0%,0%,0%,24%,17%,,,,,,,,,
,,Autre,%,35%,0%,0%,0%,0%,0%,0%,50%,13%,0%,8%,7%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,0%,14%,50%,0%,0%,0%,32%,0%,0%,0%,31%,24%,,,,,,,,,
,,"oui, au chef de quartier",%,43%,36%,0%,0%,0%,0%,68%,100%,0%,0%,33%,59%,,,,,,,,,
,,"oui, au tribunal",%,14%,21%,50%,0%,0%,0%,20%,0%,0%,0%,33%,20%,,,,,,,,,
,,"oui, à la gendarmerie",%,29%,64%,100%,0%,0%,0%,40%,0%,0%,0%,25%,41%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,14%,29%,0%,0%,0%,0%,24%,18%,0%,0%,12%,21%,,,,,,,,,
,,"oui, à un parent",%,14%,0%,0%,0%,0%,0%,52%,91%,0%,0%,17%,38%,,,,,,,,,
,,"Oui, procureur/ parquet",%,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,4%,5%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16%,1%,,,,,,,,,
,Bénéficié d'une assistance légale ou orientation juridique (% parmi victimes),oui,%,19%,75%,100%,0%,0%,0%,54%,23%,26%,0%,38%,51%,,,,,,,,,
,Bénéficié d'une assistance medicale (% parmi victimes),oui,%,32%,67%,100%,0%,0%,0%,49%,0%,39%,0%,40%,50%,,,,,,,,,
,Fréquenté un centre d'ecoute (% parmi victimes),oui,%,19%,67%,0%,0%,0%,0%,51%,23%,26%,0%,34%,47%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,26%,63%,0%,0%,0%,100%,20%,15%,26%,0%,48%,33%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,0%,42%,0%,0%,0%,0%,3%,0%,13%,0%,24%,14%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,71%,50%,100%,0%,0%,0%,84%,91%,0%,0%,54%,75%,,,,,,,,,
,,oui,%,29%,50%,0%,0%,0%,0%,16%,9%,0%,0%,46%,25%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,20%,43%,0%,0%,0%,0%,62%,80%,0%,0%,48%,52%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,80%,57%,100%,0%,0%,0%,62%,70%,0%,0%,49%,66%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,20%,14%,0%,0%,0%,0%,10%,10%,0%,0%,1%,9%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,29%,2%,,,,,,,,,
,,Trop lent,%,0%,0%,0%,0%,0%,0%,38%,50%,0%,0%,33%,30%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,0%,0%,0%,0%,0%,0%,10%,10%,0%,0%,0%,7%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,20%,14%,0%,0%,0%,0%,19%,0%,0%,0%,10%,16%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,17%,7%,,,,,,,,,
JUSTICE,Définition de la justice,Punir les responsables de crimes,%,39%,50%,76%,71%,77%,93%,75%,57%,32%,30%,40%,58%,,,,,,,,,
,,Mettre les criminels en prison,%,37%,55%,37%,89%,66%,90%,59%,14%,23%,35%,40%,51%,,,,,,,,,
,,Etre juste,%,33%,46%,15%,9%,4%,1%,4%,8%,2%,15%,29%,17%,,,,,,,,,
,,Appliquer la loi,%,75%,65%,62%,60%,87%,55%,67%,72%,74%,68%,76%,68%,,,,,,,,,
,,Compenser les victimes,%,14%,23%,10%,5%,4%,0%,13%,1%,5%,11%,15%,11%,,,,,,,,,
,,Donner le pardon aux criminels,%,7%,9%,3%,2%,1%,2%,2%,1%,0%,0%,7%,4%,,,,,,,,,
,,Savoir la verite,%,53%,37%,26%,11%,15%,6%,25%,27%,49%,13%,45%,31%,,,,,,,,,
,,La justice aux victimes,%,16%,14%,61%,10%,6%,39%,19%,29%,10%,3%,21%,24%,,,,,,,,,
,,Les criminels reconnaissent leurs crimes,%,6%,8%,18%,15%,9%,6%,10%,1%,2%,0%,8%,9%,,,,,,,,,
,,La victime et la personne qui a commis le crime s'entendent avec l'aide de quelqu'un d'autre (mediation),%,7%,3%,14%,3%,0%,1%,10%,3%,34%,0%,9%,10%,,,,,,,,,
,, S'en remettre a l'au-dela,%,2%,1%,0%,0%,0%,0%,16%,0%,0%,0%,1%,3%,,,,,,,,,
,, Les criminels se repentent,%,3%,0%,5%,4%,0%,3%,6%,0%,1%,0%,4%,3%,,,,,,,,,
,,Les criminels demandent le pardon,%,2%,0%,7%,7%,0%,2%,18%,1%,0%,0%,4%,5%,,,,,,,,,
,, Savoir ce qui est vrai et ce qui est faux,%,46%,40%,23%,33%,30%,3%,18%,19%,53%,3%,34%,28%,,,,,,,,,
,,Autre,%,5%,3%,0%,0%,0%,0%,0%,0%,4%,1%,4%,2%,,,,,,,,,
,La justice existe en RCA,Oui,%,86%,85%,72%,96%,81%,80%,85%,74%,54%,69%,86%,80%,,,,,,,,,
,La justice est possible si vous êtes victime d’un crime,Oui,%,81%,72%,68%,92%,81%,61%,74%,68%,42%,90%,80%,73%,,,,,,,,,
,Perception du système de justice national (% répondants - réponses multiples), Ça n’existe pas / impunité,%,3%,3%,19%,1%,3%,7%,2%,18%,11%,0%,5%,7%,,,,,,,,,
,,Ils sont corrompus,%,33%,40%,35%,30%,40%,56%,31%,49%,59%,34%,36%,40%,,,,,,,,,
,,Il faut payer,%,26%,27%,23%,66%,39%,50%,88%,18%,19%,18%,27%,38%,,,,,,,,,
,,C'est la justice des riches,%,26%,31%,32%,18%,29%,54%,28%,32%,48%,6%,29%,32%,,,,,,,,,
,,"Ça fonctionne bien; il y a des bâtiments, juges, personnel….",%,45%,4%,36%,69%,55%,28%,45%,43%,20%,37%,48%,39%,,,,,,,,,
,,La justice est rendue comme elle le devrait,%,48%,47%,48%,33%,65%,14%,48%,27%,27%,33%,40%,38%,,,,,,,,,
,,Je ne connais pas assez pour avoir une opinion,%,8%,6%,12%,9%,49%,33%,17%,2%,5%,2%,6%,13%,,,,,,,,,
,,Autre,%,1%,0%,1%,3%,4%,0%,0%,1%,0%,0%,1%,1%,,,,,,,,,
,Mesures pour améliorer le système de justice (% répondants - réponses multiples),C’est impossible d’améliorer,%,3%,1%,3%,2%,0%,9%,0%,1%,7%,6%,7%,4%,,,,,,,,,
,,"Former les juges, avocats,...",%,44%,53%,36%,50%,93%,61%,65%,49%,58%,25%,43%,51%,,,,,,,,,
,,Combattre la corruption,%,77%,73%,80%,56%,96%,89%,62%,93%,83%,75%,73%,76%,,,,,,,,,
,,Construire les infrastructures,%,38%,13%,49%,36%,26%,16%,21%,11%,19%,3%,38%,29%,,,,,,,,,
,,Informer la population,%,35%,36%,25%,56%,22%,30%,63%,4%,2%,24%,35%,33%,,,,,,,,,
,,"Payer le personnel, les juges",%,33%,12%,57%,64%,38%,23%,47%,2%,21%,10%,30%,33%,,,,,,,,,
,,Sanctionner les juges,%,29%,18%,35%,40%,18%,44%,19%,61%,40%,5%,26%,31%,,,,,,,,,
,,Autre,%,4%,1%,0%,0%,1%,0%,0%,1%,2%,0%,4%,2%,,,,,,,,,
,Déjà eu recours aux tribunaux,oui,%,34%,31%,46%,44%,23%,23%,37%,17%,14%,9%,32%,30%,,,,,,,,,
,Dans les 12 derniers mois,oui,%,69%,43%,54%,21%,62%,80%,85%,55%,75%,70%,63%,62%,,,,,,,,,
,Connaissance du système judiciaire national,% Bonne et très bonne,%,57%,40%,58%,48%,58%,28%,74%,43%,50%,85%,57%,52%,,,,,,,,,
,Accès à la justice ordinaire en Centrafrique (le système des cours et tribunaux),% Bonne et très bonne,%,56%,31%,51%,51%,59%,26%,42%,47%,53%,85%,59%,48%,,,,,,,,,
,Niveau de confiance envers la justice ordinaire en Centrafrique (le système des cours et tribunaux),% confiants,%,50%,44%,71%,40%,19%,25%,68%,59%,18%,59%,44%,45%,,,,,,,,,
,Qualité du travail des acteurs de la justice ordinaire en Centrafrique (le système des cours et tribunaux),% Bonne et très bonne,%,62%,37%,65%,31%,38%,38%,68%,61%,34%,58%,56%,50%,,,,,,,,,
,Perception du système de justice national incluant les forces de sécurité (% d'accord) ,Les victimes de crimes dans votre quartier / village ont la possibilité de porter plainte en justice,%,96%,98%,100%,100%,78%,100%,73%,99%,90%,99%,94%,93%,,,,,,,,,
,,Il faut payer un pot de vin pour que la police travaille sur une plainte,%,17%,5%,20%,1%,7%,2%,17%,1%,64%,2%,17%,16%,,,,,,,,,
,,Les coupables peuvent corrompre la justice en payant les juges ou d’autres acteurs,%,23%,12%,56%,13%,39%,5%,22%,8%,70%,3%,29%,27%,,,,,,,,,
,,Les juges traitent les hommes et les femmes de la même façon,%,81%,65%,92%,96%,87%,99%,89%,95%,41%,75%,77%,82%,,,,,,,,,
,,Les juges traitent les personnes de tous les groupes ethniques et religieux de la même façon,%,78%,65%,82%,96%,96%,98%,91%,99%,39%,71%,79%,81%,,,,,,,,,
,,Les décisions des juges sont généralement justes,%,72%,78%,64%,60%,59%,85%,70%,100%,31%,65%,74%,70%,,,,,,,,,
,,Les juges prennent leurs décisions sans influence politique,%,70%,77%,78%,58%,56%,96%,84%,97%,40%,95%,74%,76%,,,,,,,,,
,,La justice ordinaire n’est pas capable de juger les violences commises par les groupes armés,%,70%,44%,35%,77%,53%,92%,35%,49%,75%,67%,62%,62%,,,,,,,,,
,Amélioration du travail des acteurs de la justice ordinaire au cours des 12 derniers mois ,Oui,%,85%,77%,69%,92%,78%,60%,79%,77%,42%,91%,87%,76%,,,,,,,,,
,Confiance envers la justice locale coutumière,% confiants,%,47%,37%,54%,68%,26%,45%,31%,55%,9%,84%,30%,41%,,,,,,,,,
,Confiance en les mécanismes alternatifs de résolution de disputes,% confiants,%,50%,43%,53%,67%,5%,53%,60%,77%,33%,91%,43%,51%,,,,,,,,,
PAIX,Possible d’avoir une paix/ sécurité durable en Centrafrique,Oui,%,93%,83%,75%,98%,90%,81%,81%,85%,65%,69%,92%,84%,,,,,,,,,
,Les gens de votre quartier / village vivent en paix,% Beaucoup et extrêmement,%,51%,55%,35%,71%,44%,29%,17%,42%,17%,42%,38%,37%,,,,,,,,,
,La population nationale vit en paix,% Beaucoup et extrêmement,%,23%,35%,19%,24%,0%,4%,1%,12%,0%,5%,18%,14%,,,,,,,,,
,Amélioration de la paix au cours des 12 prochains mois en RCA,Oui,%,86%,88%,30%,99%,97%,61%,41%,71%,50%,87%,85%,69%,,,,,,,,,
,Actions pour une paix durable en RCA (% répondants - réponses multiples),"Rien, la paix ne peut pas revenir",%,1%,6%,1%,1%,0%,1%,0%,1%,2%,1%,4%,2%,,,,,,,,,
,, Juger les responsables des crimes,%,49%,52%,71%,80%,75%,81%,77%,49%,47%,34%,48%,60%,,,,,,,,,
,,Mettre en prison les responsables des crimes,%,47%,50%,41%,81%,31%,87%,58%,29%,52%,20%,42%,52%,,,,,,,,,
,,Assurer la sécurité partout dans le pays,%,52%,45%,44%,67%,75%,54%,40%,36%,42%,15%,41%,47%,,,,,,,,,
,,DDR,%,78%,77%,84%,92%,27%,25%,74%,80%,95%,34%,81%,70%,,,,,,,,,
,,Développer le pays,%,30%,32%,23%,17%,10%,23%,6%,3%,3%,32%,35%,22%,,,,,,,,,
,,Assurer de l'emploi à tous,%,44%,19%,34%,16%,32%,8%,7%,27%,11%,24%,33%,25%,,,,,,,,,
,,Construire des routes,%,31%,38%,31%,7%,22%,5%,2%,7%,3%,14%,22%,18%,,,,,,,,,
,,Mettre en place des dialogues entre les differents groupes ethniques/ religieux,%,33%,16%,17%,20%,6%,7%,45%,5%,41%,13%,23%,23%,,,,,,,,,
,,Eduquer la nouvelle génération,%,31%,35%,8%,37%,6%,2%,28%,11%,17%,6%,29%,21%,,,,,,,,,
,,Construire un État de droit,%,22%,30%,17%,6%,2%,0%,12%,9%,15%,3%,22%,15%,,,,,,,,,
