Catégories,Variables,Réponses,Unit,Zone 9,Zone 10,Zone 11,Zone 12,1er,2ème,3ème,4ème,5ème,6ème,7ème,8ème,TOTAL,Source,Source Link,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,,,,,,,,,
,,"oui, à un parent",%,14%,33%,100%,50%,33%,25%,0%,100%,33%,0%,0%,25%,33%,,,,,,,,,
,,"Oui, procureur/ parquet",%,0%,0%,0%,0%,0%,25%,100%,0%,17%,25%,0%,0%,13%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,5%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,25%,13%,38%,37%,45%,42%,73%,48%,58%,25%,15%,58%,46%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,13%,13%,6%,0%,20%,50%,0%,14%,11%,13%,0%,8%,11%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,71%,67%,100%,75%,50%,50%,100%,100%,50%,25%,50%,50%,60%,,,,,,,,,
,,oui,%,29%,33%,0%,25%,50%,50%,0%,0%,50%,75%,50%,50%,40%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,20%,0%,20%,33%,67%,0%,0%,100%,67%,0%,0%,100%,39%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,40%,50%,80%,33%,33%,50%,0%,0%,0%,100%,100%,0%,34%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,60%,0%,0%,33%,33%,100%,100%,0%,0%,0%,0%,0%,24%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,0%,0%,0%,0%,33%,0%,0%,0%,0%,100%,0%,0%,5%,,,,,,,,,
,,Trop lent,%,40%,50%,0%,33%,0%,0%,0%,0%,67%,100%,0%,0%,31%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,0%,50%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,3%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,0%,50%,0%,0%,33%,50%,0%,0%,33%,0%,0%,0%,14%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
CRIMES -sorcellerie,Victime de sorcellerie  (12 derniers mois),Oui,%,4%,7%,10%,12%,5%,7%,7%,9%,15%,5%,15%,10%,9%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,87%,50%,38%,67%,40%,25%,88%,55%,45%,27%,59%,48%,52%,,,,,,,,,
,,oui,%,13%,50%,62%,33%,60%,75%,12%,45%,55%,73%,41%,52%,48%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,0%,50%,38%,22%,0%,25%,21%,55%,33%,33%,30%,30%,31%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,14%,0%,38%,22%,25%,25%,0%,9%,27%,33%,10%,30%,17%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,14%,25%,12%,0%,0%,50%,0%,0%,7%,33%,15%,30%,11%,,,,,,,,,
,, Je ne connais pas les auteurs,%,43%,13%,38%,33%,75%,50%,71%,0%,27%,33%,35%,40%,35%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,14%,13%,0%,11%,0%,25%,0%,9%,0%,0%,5%,20%,6%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,0%,0%,0%,17%,25%,0%,7%,0%,13%,0%,0%,20%,8%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,0%,0%,0%,6%,25%,0%,0%,18%,27%,0%,5%,0%,10%,,,,,,,,,
,,Autre,%,29%,25%,0%,0%,0%,25%,0%,9%,7%,0%,20%,0%,8%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,0%,25%,31%,11%,33%,0%,0%,22%,39%,25%,36%,18%,26%,,,,,,,,,
,,"oui, au chef de quartier",%,0%,62%,46%,33%,33%,58%,50%,44%,56%,62%,64%,55%,53%,,,,,,,,,
,,"oui, au tribunal",%,0%,0%,8%,0%,33%,33%,0%,11%,0%,25%,0%,0%,7%,,,,,,,,,
,,"oui, à la gendarmerie",%,0%,0%,0%,0%,50%,25%,0%,0%,6%,25%,7%,9%,8%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,0%,13%,38%,44%,0%,0%,50%,44%,6%,0%,14%,9%,16%,,,,,,,,,
,,"oui, à un parent",%,100%,38%,77%,78%,17%,33%,0%,33%,28%,25%,50%,36%,38%,,,,,,,,,
,,"Oui, procureur/ parquet",%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,1%,,,,,,,,,
,,Autre,%,0%,13%,0%,0%,0%,0%,0%,0%,6%,0%,0%,9%,3%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,13%,50%,29%,30%,30%,63%,31%,40%,48%,45%,47%,33%,41%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,13%,31%,29%,7%,30%,31%,0%,25%,27%,36%,26%,10%,22%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,100%,25%,15%,44%,67%,58%,50%,22%,28%,50%,21%,55%,35%,,,,,,,,,
,,oui,%,0%,75%,85%,56%,33%,42%,50%,67%,72%,50%,71%,45%,63%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,0%,50%,0%,50%,25%,29%,0%,0%,60%,25%,0%,83%,41%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,100%,0%,50%,50%,100%,43%,0%,0%,60%,75%,33%,0%,40%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,0%,0%,0%,0%,0%,43%,0%,0%,0%,0%,0%,0%,7%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,33%,0%,3%,,,,,,,,,
,,Trop lent,%,0%,0%,0%,0%,50%,0%,0%,0%,40%,25%,67%,17%,19%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,0%,50%,50%,0%,0%,29%,0%,0%,0%,0%,67%,17%,14%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,0%,50%,50%,0%,0%,29%,100%,50%,0%,25%,0%,0%,18%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,0%,50%,20%,0%,0%,0%,8%,,,,,,,,,
VIOLENCE LIEE AUX CONFLITS,Témoin de violences liées aux conflits - toutes les catégories - 12 derniers mois,Oui,%,10%,17%,13%,14%,13%,16%,6%,13%,14%,9%,15%,11%,12%,,,,,,,,,
,"Si oui, lesquelles (% parmi tous les répondants)",Combats,%,9%,11%,6%,10%,7%,8%,2%,7%,7%,6%,9%,8%,7%,,,,,,,,,
,,Viol,%,1%,5%,4%,4%,0%,1%,0%,3%,4%,1%,3%,3%,3%,,,,,,,,,
,,Esclavage sexuel,%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,1%,1%,,,,,,,,,
,,Prostitution forcee/ proxenetisme,%,0%,0%,0%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%,,,,,,,,,
,,Grossesse forcee,%,0%,1%,0%,0%,0%,0%,0%,1%,2%,0%,0%,0%,1%,,,,,,,,,
,,Sterilisation forcee,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Autres agressions sexuelles,%,0%,2%,0%,1%,0%,0%,0%,1%,3%,0%,1%,1%,1%,,,,,,,,,
,,Vols/ pillages,%,5%,13%,10%,11%,9%,13%,1%,12%,6%,6%,11%,7%,8%,,,,,,,,,
,,Destruction des proprietes,%,5%,9%,10%,11%,5%,6%,2%,11%,7%,5%,7%,8%,7%,,,,,,,,,
,,Meurtres,%,8%,13%,8%,11%,8%,8%,1%,10%,5%,5%,10%,7%,7%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,"Témoin de personnes abusées sexuellement (viol, harcellement, agression, mutilations) par des groupes armés ou militaires, dans le cadre des conflits",Oui,%,1%,10%,8%,12%,6%,6%,3%,12%,10%,4%,7%,9%,8%,,,,,,,,,
,Pendant les évènements de 2003 mais avant la crise de 2013 (% parmi les témoins),Oui,%,100%,50%,56%,63%,69%,71%,33%,59%,41%,78%,73%,100%,61%,,,,,,,,,
,Pendant la crise de 2013 jusqu'a maintenant (% parmi les témoins),Oui,%,100%,95%,89%,93%,46%,43%,67%,81%,86%,89%,80%,75%,81%,,,,,,,,,
,Dans les 12 derniers mois (% parmi les témoins),Oui,%,33%,59%,83%,78%,38%,50%,33%,56%,50%,22%,60%,60%,56%,,,,,,,,,
,Victime de violences liés aux conflits - toutes les catégories - 12 derniers mois,Oui,%,2%,12%,11%,21%,7%,6%,1%,14%,9%,4%,10%,10%,9%,,,,,,,,,
,"Si oui, lesquelles (% parmi tous les répondants)",Combats,%,2%,2%,0%,3%,4%,1%,0%,0%,4%,1%,1%,2%,2%,,,,,,,,,
,,Viols,%,0%,0%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,,,,,,,,,
,,Esclavage sexuel,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Prostitution forcee/ proxenetisme,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Grossesse forcee,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Autres agressions sexuelles,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,,,,,,,,,
,,Vols/ pillages,%,1%,11%,10%,18%,5%,5%,0%,11%,7%,3%,8%,7%,7%,,,,,,,,,
,,Destruction des proprietes,%,1%,6%,5%,13%,5%,3%,0%,10%,6%,1%,4%,7%,5%,,,,,,,,,
,,Meurtres,%,1%,5%,5%,11%,1%,1%,0%,6%,2%,0%,3%,4%,3%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,"Victime de violences sexuelles (viol, harcellement, agression, mutilations) par des groupes armes ou militaires, dans le cadre des conflits",Oui,%,2%,3%,2%,6%,6%,5%,1%,1%,2%,1%,1%,2%,2%,,,,,,,,,
,Pendant les évènements de 2003 mais avant la crise de 2013 (% parmi les victimes),Oui,%,80%,57%,40%,38%,100%,75%,0%,50%,50%,100%,50%,60%,57%,,,,,,,,,
,Pendant la crise de 2013 jusqu'a maintenant (% parmi les victimes),Oui,%,100%,71%,60%,100%,62%,25%,100%,100%,100%,100%,100%,60%,76%,,,,,,,,,
,Dans les 12 derniers mois (% parmi les victimes),Oui,%,0%,57%,20%,54%,23%,50%,0%,50%,50%,33%,50%,60%,42%,,,,,,,,,
,"Déplacé, forcé de fuir, à cause des conflits, depuis 2003",Oui,%,32%,49%,56%,62%,27%,30%,21%,59%,56%,38%,46%,55%,46%,,,,,,,,,
,Dans les 12 derniers mois (% parmi oui),Oui,%,20%,22%,18%,28%,17%,11%,36%,25%,29%,19%,20%,26%,24%,,,,,,,,,
,"Menacé de violences ou vous sentir menacé à cause des conflits, depuis 2003",Oui,%,20%,28%,37%,41%,22%,18%,12%,35%,36%,17%,28%,31%,28%,,,,,,,,,
,Dans les 12 derniers mois (% parmi oui),Oui,%,27%,10%,15%,22%,22%,23%,56%,21%,32%,18%,11%,34%,25%,,,,,,,,,
,Emprisonné par un groupe armé / militaire à cause des conflits depuis 2003,Oui,%,5%,5%,10%,9%,10%,8%,3%,9%,16%,4%,5%,14%,9%,,,,,,,,,
,Dans les 12 derniers mois (% parmi oui),Oui,%,18%,33%,24%,20%,30%,35%,43%,11%,40%,56%,8%,30%,31%,,,,,,,,,
,Enlevé ou forcé de travailler ou de participer dans les violence pour un groupe armé ou militaire à cause des conflits depuis 2003,Oui,%,5%,4%,7%,7%,7%,6%,2%,5%,8%,3%,3%,9%,5%,,,,,,,,,
,Dans les 12 derniers mois (% parmi oui),Oui,%,20%,25%,6%,27%,33%,54%,50%,0%,39%,50%,29%,32%,30%,,,,,,,,,
,Plus d’une semaine ,Oui,%,40%,38%,38%,47%,73%,62%,100%,18%,56%,67%,14%,37%,47%,,,,,,,,,
,Décès d’un membre du ménage à cause des conflits depuis 2003,Oui,%,24%,45%,50%,50%,25%,21%,19%,46%,44%,19%,34%,46%,36%,,,,,,,,,
,Dans les 12 derniers mois (% parmi oui),Oui,%,32%,34%,32%,36%,23%,19%,39%,41%,30%,24%,33%,37%,33%,,,,,,,,,
,"Disparition d’un membre du ménage à cause des conflits (par exemple enlèvement…), depuis 2003",Oui,%,10%,18%,21%,21%,12%,14%,9%,21%,25%,10%,17%,20%,17%,,,,,,,,,
,Dans les 12 derniers mois (% parmi oui),Oui,%,57%,64%,39%,64%,46%,26%,47%,47%,45%,33%,34%,56%,47%,,,,,,,,,
GENRE ET VIOLENCES SEXUELLES,Perception générale sur les violences sexuelles et acteurs associés (% d'accord),"Un homme devrait toujours s'assurer que sa partenaire est d'accord avant de s'engager dans une relation sexuelle, même s'ils sont mariés",%,95%,97%,93%,93%,93%,95%,93%,93%,95%,94%,95%,98%,95%,,,,,,,,,
,,Il est parfois acceptable qu'un homme batte son épouse,%,30%,31%,23%,32%,40%,39%,5%,28%,28%,34%,30%,28%,27%,,,,,,,,,
,,Il est parfois acceptable qu'une femme batte son époux,%,10%,10%,9%,15%,11%,13%,4%,14%,12%,13%,15%,12%,11%,,,,,,,,,
,,"Les violences sexuelles doivent se résoudre dans les familles, sans les autorités",%,64%,73%,74%,70%,54%,49%,69%,81%,81%,59%,68%,80%,71%,,,,,,,,,
,,Les responsables de violence sexuelles sont généralement punis,%,91%,94%,95%,92%,92%,90%,94%,92%,92%,91%,93%,97%,93%,,,,,,,,,
,,Les victimes de violences sexuelles peuvent avoir leur cas jugés par les tribunaux,%,93%,96%,94%,95%,92%,95%,95%,94%,94%,92%,95%,97%,94%,,,,,,,,,
,,Les victimes des violences sexuelles peuvent avoir leur cas enquêtés par la police,%,92%,94%,94%,92%,91%,95%,68%,94%,89%,94%,96%,94%,90%,,,,,,,,,
,Efforts des acteurs pour lutter contre les violences sexuelles (% bon et très bon),Etat,%,83%,76%,72%,65%,83%,84%,56%,65%,68%,83%,75%,67%,71%,,,,,,,,,
,,Police,%,81%,73%,74%,65%,83%,79%,55%,63%,68%,79%,70%,65%,69%,,,,,,,,,
,,Gendarmerie,%,87%,75%,77%,69%,89%,87%,61%,66%,68%,86%,82%,69%,74%,,,,,,,,,
,,"Autorités administratives locales et villageoises (chef du village, mairie, chef coutumier, de clan)",%,66%,63%,66%,55%,69%,72%,62%,56%,62%,68%,65%,63%,63%,,,,,,,,,
,,Nations Unies,%,84%,72%,66%,53%,80%,77%,77%,61%,61%,83%,77%,70%,70%,,,,,,,,,
,,Tribunaux ordinaires,%,95%,85%,78%,74%,93%,92%,73%,75%,84%,94%,85%,82%,83%,,,,,,,,,
,,Cour pénale spéciale,%,77%,73%,66%,54%,81%,76%,66%,59%,54%,72%,70%,57%,65%,,,,,,,,,
,,Confessions religieuses,%,94%,81%,72%,67%,88%,90%,79%,67%,67%,91%,80%,73%,77%,,,,,,,,,
,,ONGs,%,95%,82%,74%,64%,94%,92%,79%,70%,68%,93%,82%,73%,78%,,,,,,,,,
,Traitement des victimes de violences sexuelles par rapport aux autres crimes  (% répondants),mieux servies,%,41%,58%,67%,67%,37%,42%,62%,63%,55%,48%,53%,57%,56%,,,,,,,,,
,,moins bien servies,%,27%,23%,14%,21%,32%,27%,31%,27%,32%,26%,30%,29%,27%,,,,,,,,,
,,même chose,%,31%,19%,19%,12%,31%,31%,6%,10%,14%,27%,17%,14%,17%,,,,,,,,,
,Traitement des victimes de violences sexuelles par rapport à l'année précédente (% répondants),mieux servies,%,45%,53%,57%,47%,40%,41%,58%,50%,50%,49%,49%,57%,51%,,,,,,,,,
,,moins bien servies,%,26%,26%,21%,26%,27%,25%,25%,33%,32%,21%,26%,25%,27%,,,,,,,,,
,,même chose,%,29%,21%,21%,26%,33%,33%,16%,17%,17%,30%,25%,17%,22%,,,,,,,,,
,Acceptance du retour d'une personne victime de violences sexuelles … (% oui),Dans votre communauté ,%,88%,88%,76%,82%,88%,92%,84%,78%,80%,89%,85%,78%,83%,,,,,,,,,
,,Dans votre ménage ,%,90%,89%,83%,85%,90%,92%,86%,82%,82%,90%,89%,81%,86%,,,,,,,,,
,,Dans votre ménage d'une femme/fille victime si elle a eu un enfant à cause de cet acte,%,85%,86%,82%,85%,88%,90%,80%,76%,79%,87%,85%,76%,82%,,,,,,,,,
,,Dans votre ménage d'une femme ou homme victime si elle/ il a eu une maladie ou blessure à cause de cet acte,%,84%,85%,84%,87%,87%,88%,76%,81%,79%,85%,84%,82%,82%,,,,,,,,,
,Forcé de marier quelqu'un contre votre volonté,Oui,%,16%,14%,13%,16%,18%,15%,16%,15%,8%,12%,15%,9%,13%,,,,,,,,,
,"Empêché d'avoir une activité ééconomique, destruction d'outils de travail ou refus d'accès à la terre",Oui,%,16%,23%,27%,27%,14%,10%,14%,24%,20%,14%,19%,18%,19%,,,,,,,,,
,"Victime de violences morales, psychologiques ou affectives",Oui,%,40%,46%,42%,47%,28%,26%,20%,48%,41%,33%,37%,49%,39%,,,,,,,,,
,"Connaître une ou plusieurs personnes qui ont été harcelées, agressées ou mutilées sexuellement au cours des 12 derniers mois, que ce soit chez eux ou ailleurs",Oui,%,11%,16%,18%,22%,12%,9%,18%,19%,24%,9%,15%,17%,17%,,,,,,,,,
,"Témoin d'une ou plusieurs personnes qui ont été harcelées, agressées ou mutilées sexuellement au cours des 12 derniers mois, que ce soit chez eux ou ailleurs",Oui,%,5%,12%,11%,11%,14%,5%,10%,13%,13%,5%,10%,9%,10%,,,,,,,,,
,"Victime d'un harcèlement, aggression ou mutilation sexuelle au cours des 12 derniers mois, que ce soit chez vous ou ailleurs",Oui,%,0%,0%,3%,2%,6%,2%,1%,3%,3%,3%,2%,2%,2%,,,,,,,,,
,Arrivé plusieurs fois,oui,%,0%,0%,33%,60%,38%,20%,50%,50%,50%,57%,50%,60%,47%,,,,,,,,,
,"Utilisation d'une arme et si oui, laquelle",Pas d'arme,%,0%,100%,67%,40%,15%,20%,50%,33%,100%,0%,75%,20%,45%,,,,,,,,,
,,"Arme blanche (couteau,…)",%,100%,0%,0%,20%,62%,40%,0%,17%,0%,86%,25%,20%,27%,,,,,,,,,
,,Arme de poing (revolver),%,0%,0%,33%,40%,15%,40%,50%,17%,0%,14%,0%,40%,20%,,,,,,,,,
,,"Autre arme (fusil,…)",%,0%,0%,0%,0%,8%,0%,0%,17%,0%,0%,0%,20%,5%,,,,,,,,,
,Responsable du dernier incident de violence sexuelle,Membre de votre famille,%,0%,0%,0%,20%,8%,20%,0%,33%,17%,14%,0%,20%,16%,,,,,,,,,
,,Ami proche,%,0%,0%,0%,20%,8%,0%,50%,0%,17%,0%,0%,0%,8%,,,,,,,,,
,,Connaissance,%,0%,0%,0%,20%,15%,40%,0%,33%,17%,0%,25%,0%,15%,,,,,,,,,
,,Personne en tenue,%,0%,0%,17%,0%,46%,0%,0%,17%,0%,29%,25%,20%,13%,,,,,,,,,
,,Personne inconnue,%,100%,0%,50%,40%,23%,40%,0%,17%,17%,57%,25%,60%,34%,,,,,,,,,
,,Autre,%,0%,100%,33%,0%,0%,0%,50%,0%,33%,0%,25%,0%,14%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,0%,100%,33%,60%,31%,20%,0%,83%,50%,86%,50%,40%,53%,,,,,,,,,
,,oui,%,100%,0%,67%,40%,69%,80%,100%,17%,50%,14%,50%,60%,47%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,0%,100%,0%,100%,25%,0%,0%,20%,33%,33%,50%,50%,36%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,0%,0%,0%,33%,75%,100%,0%,20%,0%,17%,0%,0%,16%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,0%,0%,0%,33%,50%,0%,0%,20%,0%,17%,0%,0%,12%,,,,,,,,,
,, Je ne connais pas les auteurs,%,0%,0%,0%,0%,50%,0%,0%,0%,0%,17%,50%,0%,7%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,0%,0%,0%,0%,0%,100%,0%,0%,0%,50%,0%,0%,15%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,0%,0%,0%,0%,0%,0%,0%,40%,0%,33%,0%,50%,22%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,0%,0%,0%,33%,0%,0%,0%,40%,33%,17%,0%,0%,23%,,,,,,,,,
,,Autre,%,0%,100%,100%,0%,0%,0%,0%,0%,33%,0%,0%,0%,14%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,0%,0%,0%,0%,89%,50%,50%,0%,33%,0%,0%,0%,25%,,,,,,,,,
,,"oui, au chef de quartier",%,100%,0%,25%,50%,44%,50%,0%,100%,0%,100%,50%,33%,35%,,,,,,,,,
,,"oui, au tribunal",%,0%,0%,25%,0%,22%,25%,0%,100%,33%,0%,100%,33%,30%,,,,,,,,,
,,"oui, à la gendarmerie",%,0%,0%,25%,50%,44%,0%,0%,100%,33%,100%,0%,0%,25%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,0%,0%,25%,0%,11%,0%,0%,0%,0%,0%,0%,67%,12%,,,,,,,,,
,,"oui, à un parent",%,0%,0%,25%,0%,11%,25%,0%,0%,33%,0%,50%,0%,17%,,,,,,,,,
,,"Oui, procureur/ parquet",%,0%,0%,0%,0%,11%,0%,0%,0%,0%,0%,50%,0%,3%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,50%,0%,33%,0%,0%,0%,13%,,,,,,,,,
,Bénéficié d'une assistance légale ou orientation juridique (% parmi victimes),oui,%,0%,0%,50%,0%,54%,80%,100%,17%,33%,14%,50%,40%,36%,,,,,,,,,
,Bénéficié d'une assistance medicale (% parmi victimes),oui,%,0%,0%,67%,20%,62%,60%,100%,33%,33%,14%,50%,40%,39%,,,,,,,,,
,Fréquenté un centre d'ecoute (% parmi victimes),oui,%,0%,0%,50%,0%,46%,80%,100%,17%,17%,29%,50%,20%,32%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,0%,100%,17%,40%,23%,20%,50%,67%,83%,14%,75%,20%,45%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,0%,0%,0%,0%,31%,0%,50%,17%,33%,29%,50%,0%,20%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,100%,0%,75%,50%,44%,50%,50%,100%,67%,100%,0%,33%,58%,,,,,,,,,
,,oui,%,0%,0%,25%,50%,56%,50%,50%,0%,33%,0%,100%,67%,42%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,0%,0%,33%,0%,25%,50%,100%,0%,50%,0%,100%,52%,41%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,0%,0%,100%,100%,100%,50%,100%,100%,0%,100%,0%,66%,56%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,100%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,9%,6%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,0%,0%,0%,0%,0%,50%,0%,0%,0%,100%,100%,2%,22%,,,,,,,,,
,,Trop lent,%,0%,0%,0%,0%,50%,50%,0%,100%,0%,0%,100%,30%,25%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,16%,12%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,7%,13%,,,,,,,,,
JUSTICE,Définition de la justice,Punir les responsables de crimes,%,55%,46%,31%,29%,56%,48%,22%,37%,39%,55%,46%,37%,40%,,,,,,,,,
,,Mettre les criminels en prison,%,41%,43%,29%,31%,55%,44%,20%,41%,41%,45%,45%,46%,39%,,,,,,,,,
,,Etre juste,%,25%,39%,35%,41%,29%,26%,28%,33%,22%,28%,33%,35%,30%,,,,,,,,,
,,Appliquer la loi,%,80%,80%,71%,71%,86%,81%,86%,66%,74%,81%,76%,70%,76%,,,,,,,,,
,,Compenser les victimes,%,19%,16%,12%,9%,21%,21%,5%,19%,12%,22%,20%,13%,15%,,,,,,,,,
,,Donner le pardon aux criminels,%,11%,11%,4%,5%,13%,12%,3%,7%,5%,10%,11%,5%,7%,,,,,,,,,
,,Savoir la verite,%,47%,54%,50%,52%,56%,45%,55%,46%,39%,47%,44%,39%,46%,,,,,,,,,
,,La justice aux victimes,%,20%,16%,14%,19%,30%,32%,22%,16%,18%,24%,22%,15%,20%,,,,,,,,,
,,Les criminels reconnaissent leurs crimes,%,7%,5%,5%,5%,20%,15%,4%,6%,8%,8%,8%,6%,7%,,,,,,,,,
,,La victime et la personne qui a commis le crime s'entendent avec l'aide de quelqu'un d'autre (mediation),%,5%,12%,10%,7%,8%,11%,4%,10%,9%,7%,12%,15%,9%,,,,,,,,,
,, S'en remettre a l'au-dela,%,1%,4%,3%,4%,1%,1%,1%,2%,0%,4%,2%,1%,2%,,,,,,,,,
,, Les criminels se repentent,%,3%,2%,4%,4%,7%,6%,1%,7%,2%,5%,5%,1%,4%,,,,,,,,,
,,Les criminels demandent le pardon,%,2%,2%,3%,3%,13%,8%,2%,1%,4%,8%,9%,1%,4%,,,,,,,,,
,, Savoir ce qui est vrai et ce qui est faux,%,25%,38%,51%,56%,25%,23%,31%,48%,36%,19%,36%,40%,36%,,,,,,,,,
,,Autre,%,0%,3%,10%,12%,0%,1%,2%,7%,4%,1%,5%,5%,4%,,,,,,,,,
,La justice existe en RCA,Oui,%,80%,88%,91%,87%,90%,92%,86%,84%,84%,86%,84%,88%,86%,,,,,,,,,
,La justice est possible si vous êtes victime d’un crime,Oui,%,72%,82%,88%,88%,86%,81%,83%,81%,74%,81%,80%,83%,81%,,,,,,,,,
,Perception du système de justice national (% répondants - réponses multiples), Ça n’existe pas / impunité,%,5%,4%,1%,3%,4%,2%,6%,5%,9%,5%,2%,5%,5%,,,,,,,,,
,,Ils sont corrompus,%,45%,35%,29%,30%,43%,43%,28%,34%,37%,45%,36%,30%,36%,,,,,,,,,
,,Il faut payer,%,40%,30%,26%,22%,45%,40%,10%,25%,26%,41%,32%,22%,28%,,,,,,,,,
,,C'est la justice des riches,%,31%,27%,30%,22%,26%,31%,19%,33%,30%,34%,34%,26%,29%,,,,,,,,,
,,"Ça fonctionne bien; il y a des bâtiments, juges, personnel….",%,39%,45%,59%,51%,40%,43%,50%,53%,48%,37%,50%,53%,48%,,,,,,,,,
,,La justice est rendue comme elle le devrait,%,33%,49%,45%,55%,38%,35%,40%,45%,39%,32%,42%,45%,41%,,,,,,,,,
